,state,city_or_county,address,latitude,longitude
214465,Illinois,Chicago,6900 S California Ave,41.7682,-87.6931
214471,Illinois,Chicago,3600 N Milwaukee Ave,41.9467,-87.7367
214485,Illinois,Kankakee,456 S Lincoln Ave,41.1143,-87.8478
214489,Illinois,Dekalb,900 block of Greenbrier Rd,,
214490,Illinois,Rockford,800 block of 18th St,42.2594,-89.0619
214516,Illinois,Chicago,600 block of E 37th St,41.8275,-87.6116
214522,Illinois,Chicago,1300 S Spaulding Ave,41.8641,-87.7081
214582,Illinois,Grayslake (Gages Lake),33300 N Lone Rock Rd,42.3466,-87.9884
214586,Illinois,Chicago,9800 S Carpenter St,41.7157,-87.6495
214622,Illinois,Chicago,7900 S Manistee Ave,41.7518,-87.5577
214638,Illinois,Chicago,1300 S Millard Ave,,
214662,Illinois,Chicago,12300 S Lowe Ave,41.6704,-87.638
214664,Illinois,Chicago,800 W Jackson Blvd,,
214665,Illinois,Chicago,2600 W Potomac Ave,41.9049,-87.6926
214666,Illinois,Chicago,2300 N Central Park Ave,41.9235,-87.717
214667,Illinois,Chicago,3300 W Fulton Blvd,41.8867,-87.7089
214668,Illinois,Chicago,600 N Drake Ave,41.8918,-87.715
214669,Illinois,Chicago,10000 S Parnell Ave,41.7118,-87.637
214672,Illinois,Chicago,3100 W Roosevelt Rd,41.8666,-87.6902
214673,Illinois,Chicago,200 block of W 109th Pl,,
214688,Illinois,Peoria,W Harmon Hwy,40.682,-89.6487
214700,Illinois,Belleville,2608 Green Mt Commons Dr,38.5209,-89.9263
214709,Illinois,Auburn,,39.5887,-89.7428
214720,Illinois,Montgomery,1 Boulder Hill Pass,41.7139,-88.3453
214723,Illinois,Carbondale,227 W Main St,37.727,-89.2184
214735,Illinois,Rockford,Sunset Ave and Fairview Ave,42.2832,-89.1184
214738,Illinois,Carbondale,500 S Ash St,37.7217,-89.2194
214742,Illinois,Chicago,1100 S Whipple St,41.8682,-87.7021
214753,Illinois,Forest Park,7432 Madison St,41.8794,-87.8112
214758,Illinois,Chicago,5500 W Corcoran Pl,,
214761,Illinois,Chicago,8800 S Wallace St,41.7339,-87.6388
214802,Illinois,Glasford,,,
214830,Illinois,Chicago,400 E 63rd St,41.7803,-87.6154
214854,Illinois,Chicago,1000 N Lavergne Ave,41.8988,-87.7511
214856,Illinois,Bloomington,900 S Clayton St,40.4702,-88.9855
214864,Illinois,Chicago,4700 S Western Ave,41.8083,-87.6848
214871,Illinois,Chicago,11100 S Halsted St,41.6921,-87.6428
214872,Illinois,Chicago,11000 S Emerald Ave,41.6937,-87.6413
214873,Illinois,Chicago,4800 W Chicago Ave,41.8991,-87.7381
214874,Illinois,Park Forest,100 block of Nauvoo St,41.469,-87.6861
214887,Illinois,Danville,,40.1371,-87.6274
214892,Illinois,Yorkville,800 Game Farm Rd,41.6542,-88.4508
214920,Illinois,Danville,700 block of Florida St,,
