,state,city_or_county,address,latitude,longitude
138673,Texas,Copperas Cove,2000 block of Patricia Street,31.1035,-97.9099
138675,Texas,San Antonio,1400 block of Sacramento,29.4728,-98.5174
138731,Texas,Austin,5500 Manchaca Road,30.2159,-97.7978
138734,Texas,Temple,1811 West Avenue K,31.0912,-97.3637
138752,Texas,Walker (county),,30.7706,-95.5236
138776,Texas,Andrews,,32.3208,-102.538
138783,Texas,Corpus Christi,1700 block of Mission Drive,27.7288,-97.4483
138784,Texas,San Angelo,4119 South College Hills Boulevard,,
138791,Texas,Burnet,901 League Street,30.757,-98.2183
138792,Texas,Galveston,5700 block of Avenue H,29.301,-94.7962
138794,Texas,Dickinson (San Leon),210 27th Street,29.5026,-94.9549
138799,Texas,San Antonio,2000 block of Dollarhide Avenue,29.3672,-98.4382
138807,Texas,Abilene,1200 block of Yeomans Road,32.4443,-99.7042
138819,Texas,San Antonio,200 block of Montrose Street,29.3694,-98.469
138832,Texas,Abilene,CR 347 south of FM 1082,32.4487,-99.7331
138846,Texas,Odessa,8800 block of West Swan Road,31.8274,-102.469
138856,Texas,Dallas,8150 North Stemmons Freeway,32.8255,-96.8714
138871,Texas,Arlington,1800 block of McQueary Street,32.7386,-97.135
138883,Texas,Copperas Cove,600 block of North 17th Street,31.1325,-97.9101
138885,Texas,Laredo,2200 block of Madison,27.5301,-99.5167
138898,Texas,Dallas,3400 block of East Illinois Avenue,32.7191,-96.7905
138899,Texas,El Paso,4600 block of Maxwell,31.8674,-106.436
138926,Texas,Dallas,East Illinois Avenue,32.7175,-96.7856
138928,Texas,Houston,5700 block of Glenmont,29.7201,-95.4807
138929,Texas,Buna,32000 block of U.S. 96,30.4304,-93.9788
138943,Texas,Waco,2423 Cole Avenue,,
138947,Texas,Victoria,3605 E. Forrest St,28.787,-96.9717
138981,Texas,Killeen,104 West Veterans Memorial Boulevard,31.1184,-97.7342
138985,Texas,Dallas,3020 block of South Boulevard,32.7723,-96.7663
139022,Texas,Lubbock,4400 block of Avenue Q,33.5638,-101.855
139030,Texas,San Antonio,2400 block of Monterey Street,29.4302,-98.5688
139051,Texas,Arlington,2700 block of Roberts Circle,32.7305,-97.061
139074,Texas,Houston,6100 block of Dashwood,29.7076,-95.4891
139088,Texas,Corpus Christi,Port,27.8088,-97.403
139091,Texas,Houston,2600 block of Garden City Drive,29.8828,-95.4507
139110,Texas,Amarillo,8300 block of Amarillo Boulevard,35.2246,-101.739
139113,Texas,Killeen,500 block of West Central Texas Expressway,31.105,-97.7446
139117,Texas,San Antonio,200 block of Ada Street,29.3812,-98.4756
139118,Texas,San Antonio,3100 block of East Commerce,29.4198,-98.4399
139123,Texas,San Antonio,4000 block of Sunrise Creek,29.4616,-98.3654
139127,Texas,Abilene,1250 Yeomans Road,32.4449,-99.7025
139129,Texas,Texas City,3700 block of 9th Avenue North,29.3918,-94.952
139142,Texas,San Antonio,600 block of South Sabinas Street,29.4221,-98.5208
139164,Texas,Houston,6200 block of Werner Street,29.8549,-95.3951
139178,Texas,San Antonio,West Wildwood Street and Grant Street,29.4797,-98.5096
139186,Texas,Houston,6300 block of Airline Drive,29.8569,-95.3843
139212,Texas,San Antonio,Briggs Avenue and Somerset Road,29.3549,-98.5513
139216,Texas,El Paso,3800 block of Tierra Alamo Drive,31.802,-106.259
139219,Texas,San Antonio,4900 block of Gus Eckert Road,29.532,-98.5799
139220,Texas,Fort Worth,2800 block of Azle Avenue,32.7991,-97.3791
139229,Texas,San Antonio,100 block of S San Eduardo St,29.4312,-98.5585
139240,Texas,Greenville,7701 Wesley Street,33.0933,-96.1099
139288,Texas,Harker Heights,500 block of East Farm-to-Market 2410,31.055,-97.6499
139307,Texas,Tyler,309 West Bow Street,32.3583,-95.3036
139332,Texas,San Antonio,1139 East Sonterra Boulevard,29.6153,-98.4723
139346,Texas,Sunnyvale,Collins and Clay,32.7795,-96.5663
139354,Texas,San Antonio,Montgomery and Winsford Drive,29.5104,-98.35
139371,Texas,San Antonio,7047 Montgomery,29.5095,-98.3522
139428,Texas,Katy,6200 block of Towngate Circle,29.8072,-95.7958
139472,Texas,San Antonio,200 block of Dumoulin Avenue,29.4091,-98.4633
139478,Texas,Houston,8600 block of Valley Meadow Drive,29.8477,-95.2336
139551,Texas,Lampasas,300 block of County Road 4755,31.0588,-97.9286
139566,Texas,Houston,3400 block of Blalock Road,29.8233,-95.5226
139574,Texas,San Antonio,2200 block of East Crockett Street,29.4234,-98.4474
139575,Texas,Mansfield,1300 block of Chestnut Road,32.5868,-97.1286
139576,Texas,Houston,4400 block of June,29.8348,-95.3261
139581,Texas,San Antonio,6400 block of Tahoka Road,,
139585,Texas,Texarkana,300 block of Breckenridge Street,33.4396,-94.087
139594,Texas,Round Rock,1812 North Mays Street,30.5257,-97.6868
139729,Texas,Mcallen,North Second Street and Harvey Avenue,26.2274,-98.2169
139730,Texas,Montgomery (county),,30.1239,-95.4063
139802,Texas,Lubbock,5800 block of Avenue U,33.5415,-101.862
139805,Texas,Spring,2115 FM 2920,30.0704,-95.4552
139842,Texas,Houston,16800 block of Ella Boulevard,30.012,-95.4489
139873,Texas,Killeen,551 Brenda Drive,,
139891,Texas,Houston,14700 block of Kenny Street,29.7699,-95.1591
139909,Texas,San Antonio,2500 block of Austin Highway,29.5099,-98.4083
139911,Texas,San Antonio,,29.469,-98.5285
139920,Texas,Odessa,3001 block of East University Avenue,31.8746,-102.356
139931,Texas,Farmersville,4900 block of County Road 1114,33.1892,-96.2562
139935,Texas,Austin,901 Wagon Trail,,
139981,Texas,Dallas,6000 block of Lovett Avenue,32.7761,-96.675
139985,Texas,Lubbock,2131 Clovis Rd,33.6008,-101.865
139995,Texas,Nolanville,100 South Main Street,31.0771,-97.6134
140010,Texas,Spring,20000 block of Cypresswood Springs,30.0624,-95.4244
140011,Texas,Killeen,,31.1195,-97.7255
140026,Texas,Corpus Christi,4300 block of Leopard Street,27.7975,-97.4415
140045,Texas,El Paso,5200 block of Wren,31.8775,-106.419
140056,Texas,San Angelo,2000 block of Walnut Street,31.4646,-100.458
140084,Texas,Killeen,1300 block of Covey Lane #D,31.0883,-97.7318
140105,Texas,Houston,1700 block of Gessner Rd,29.8034,-95.5449
140119,Texas,Fort Stockton,300 block of West Division Street,30.8845,-102.881
140136,Texas,Longview,,32.5069,-94.7305
140137,Texas,Longview,,32.5069,-94.7305
140141,Texas,Gladewater,,32.5288,-94.9526
140143,Texas,Tatum,,32.3248,-94.5349
140163,Texas,Humble,19000 block of Kenswick Dr,30.0036,-95.297
140182,Texas,New Braunfels,600 block of Cherokee Boulevard,29.6586,-98.1633
140217,Texas,Blanco,400 block of Whitmire Drive,30.045,-98.3401
140268,Texas,Houston,Ringold St,29.8743,-95.4212
140284,Texas,Dallas,1600 block of Missouri Avenue,32.7178,-96.7997
140286,Texas,Houston,5000 block of Sunflower,29.6696,-95.3534
140304,Texas,Houston,8918 Bissonnet,29.6764,-95.5334
140325,Texas,Austin,1800 block of Elmira Road,30.2847,-97.6858
